eeg_id,cage_number,ear_tag,sex,year,start_date,end_date,computer,channel,injection_date,injection,cycle_length,cycle_group,diestrus_dates,estrus_dates,proestrus_dates,unlabeled_dates
221,1079.21,N,female,2019,1/30/19,2/17/19,1,6,12/6/18,KA_left,11,long,"2/11, 2/7, 2/2, 2/15","2/4, 2/14","2/14, 2/3","2/5, 2/6, 2/8"
225,1079.12,2L,female,2019,1/30/19,2/17/19,1,7,12/5/18,KA_left,9,long,"2/1, 2/2, 2/16, 2/13","2/6, 2/7","2/4, 2/14, 2/5 ",2/3
226,1080.21,N,female,2019,1/30/19,2/17/19,1,5,12/6/18,KA_right,16,long,"2/6, 2/7, 2/14, 2/1","2/5, 2/6",2/21,"2/2, 2/3, 2/4"
227,1080.11,L,female,2019,1/30/19,2/25/19,2,1,12/5/18,KA_right,10,long,"2/15, 2/10, 2/6, 2/2",2/4,"2/8, 2/11","2/5, 2/7, 2/9"
230,1080.12,2L,female,2019,1/30/19,2/17/19,1,8,12/6/18,KA_left,6,regular,"2/11, 2/7","2/6, 2/15, 2/1","2/14, 2/20","2/2, 2/3, 2/4, 2/5"
252,1104.21,R,female,2019,3/8/19,3/22/19,1,3,1/17/19,KA_left,5,regular,"3/21, 3/16, 3/11","3/18, 3/14, 3/19","3/13, 3/17","3/12, 3/15"
255,1105.21,N,female,2019,3/8/19,3/22/19,2,3,1/16/19,KA_left,5,regular,"3/12, 3/17, 3/22","3/9, 3/15, 3/20","3/14, 3/19","3/10, 3/11, 3/13"
292,1125.41,L,female,2019,4/21/19,5/14/19,1,2,3/1/19,KA_left,5.5,regular,"4/23, 5/3, 5/8","5/6, 5/11, 4/21","5/1, 5/5, 5/10","5/2, 5/4, 5/7"
301,1137.11,R,female,2019,4/29/19,5/14/19,1,6,3/6/19,KA_right,10,long,"5/1, 5/2, 5/9, 5/10","5/5, 5/6","5/4, 5/11","5/3, 5/7"
333,1177.11,L,female,2019,6/24/19,7/15/19,1,8,4/30/19,KA_left,4.5,regular,"6/27, 7/12, 7/1, 7/6","7/9, 7/5, 6/28","7/6, 7/10","7/4, 7/7, 7/8, 7/9"
362,1228.31,2L,female,2019,8/9/19,8/30/19,1,5,6/17/19,KA_left,5.5,regular,"8/12, 8/20, 8/26","8/9, 8/18, 8/23","8/17, 8/28","8/19, 8/21, 8/22"
451,1283.11,N,female,2019,11/25/19,12/17/19,1,3,10/2/19,KA_right,6,regular,"12/11, 12/15",12/14,12/13,"12/16, 12/12, 12/10"
492,1371.13,L+R,female,2020,1/17/20,2/9/20,1,1,11/27/19,KA_right,5,regular,"1/29, 1/24, 2/3, 1/19","1/27, 2/1, 2/6, 1/21","1/26, 1/31, 2/5","1/25, 1/28, 1/30"
492,1371.13,L+R,female,2020,1/17/20,2/9/20,1,1,11/27/19,KA_right,5,regular,"1/19, 1/24, 1/29","1/21, 1/27, 2/1","1/26, 1/31, 2/5 ","2/8, 2/7, 2/6, 2/4, 2/3, 2/2"
712,1524.11,N,female,2020,11/2/20,11/23/20,1,1,9/9/20,KA_right,5,regular,"11/14, 11/19, 11/9","11/11, 11/22, 11/23","11/17, 11/21","11/10, 11/12, 11/13, 11/15"
714,1524.12,R,female,2020,11/2/20,11/23/20,1,2,9/9/20,KA_right,7.5,long,11/17,"11/7, 11/12, 11/13, 11/18","11/6, 11/11, 11/19","11/5, 11/8, 11/9, 11/10"
715,1524.13,L+R,female,2020,11/2/20,11/23/20,1,3,9/9/20,KA_right,11,long,"11/6, 11/7, 11/8, 11/4","11/10, 11/11, 11/21","11/8, 11/14, 11/19","11/9, 11/12"
720,1524.14,2L+R,female,2020,11/2/20,11/23/20,1,4,9/9/20,KA_right,4.5,regular,"11/20, 11/4, 11/16, 11/15","11/7, 11/11, 11/15, 11/18","11/6, 11/10, 11/14","11/5, 11/8, 11/9"
733,1527.11,N,male,2020,12/1/20,12/21/20,1,5,10/7/20,KA_right,,,,,,"12/20, 12/19, 12/18, 12/17, 12/16, 12/15, 12/14"
734,1527.12,L,male,2020,12/1/20,12/21/20,1,6,10/7/20,KA_right,,,,,,"12/20, 12/19, 12/18, 12/17, 12/16, 12/15, 12/14"
735,1527.13,R,male,2020,12/1/20,12/21/20,1,7,10/7/20,KA_right,,,,,,"12/20, 12/19, 12/18, 12/17, 12/16, 12/15, 12/14"
736,1527.14,L+R,male,2020,12/1/20,12/21/20,1,8,10/7/20,KA_right,,,,,,"12/20, 12/19, 12/18, 12/17, 12/16, 12/15, 12/14"
737,1527.15,2L,male,2020,12/1/20,12/21/20,2,1,10/7/20,KA_right,,,,,,"12/20, 12/19, 12/18, 12/17, 12/16, 12/15, 12/14"
825,1588.12,L,female,2021,3/1/21,3/22/21,2,1,1/8/21,KA_right,10,long,"3/4, 3/10, 3/14","3/3, 3/7, 3/13","3/12, 3/15, 3/20","3/5, 3/6, 3/8, 3/9"
824,1588.11,N,female,2021,3/1/21,3/22/21,1,8,1/8/21,KA_right,4,regular,"3/3, 3/8, 3/12","3/7, 3/10, 3/14","3/5, 3/9","3/4, 3/6"
827,1588.21,L+R,female,2021,3/2/21,3/23/21,2,2,1/12/21,KA_left,4.5,regular,"3/10, 3/13, 3/17","3/8, 3/12, 3/16","3/7, 3/11, 3/15","3/9, 3/14, 3/17"
826,1588.31,R,female,2021,3/11/21,4/1/21,1,3,1/20/21,KA_left,5,regular,"3/13, 3/19, 3/24","3/17, 3/22, 3/27","3/16, 3/26","3/14, 3/15, 3/18"
829,1589.11,N,female,2021,3/24/21,4/14/21,1,2,2/1/21,KA_right,10,long,"4/1, 4/5, 4/11","4/9, 4/14, 4/13","4/4, 4/8, 4/12, 3/26","4/2, 4/3, 4/6, 4/7"
832,1589.22,L+R,female,2021,3/24/21,4/14/21,1,5,2/3/21,KA_right,10,long,"4/5, 4/1, 4/11","4/12, 4/6, 4/13","4/3, 4/4, 4/12","4/2, 4/7"
852,1608.11,N,male,2021,3/24/21,4/14/21,1,7,2/3/21,KA_left,,,,,,"3/31, 4/4, 4/8, 4/7, 4/6, 4/5, 4/3, 4/2"
853,1608.12,L,male,2021,3/24/21,4/14/21,1,8,2/3/21,KA_left,,,,,,"3/31, 4/4, 4/8, 4/7, 4/6, 4/5, 4/3, 4/2"
854,1608.13,R,male,2021,3/24/21,4/14/21,2,1,2/3/21,KA_left,,,,,,"3/31, 4/4, 4/8, 4/7, 4/6, 4/5, 4/3, 4/2"
855,1608.14,L+R,male,2021,3/24/21,4/14/21,2,2,2/3/21,KA_left,,,,,,"3/31, 4/4, 4/8, 4/7, 4/6, 4/5, 4/3, 4/2"
828,1588.41,2L,female,2021,3/25/21,4/15/21,1,1,2/4/21,KA_left,4,regular,"4/13, 4/4 , 4/8","4/1, 4/6, 4/10","3/30, 3/31, 4/5, 4/9",4/7
831,1589.21,L,female,2021,3/25/21,4/15/21,1,4,2/3/21,KA_left,4.5,regular," 4/2, 4/7, 4/12","4/5, 3/31,4/1","3/26, 4/4, 4/8, 4/14","4/3, 4/6"
833,1589.31,2L,female,2021,3/25/21,4/15/21,1,6,2/4/21,KA_left,5.5,regular," 4/3, 4/9, 4/14","3/30, 4/7, 4/12","4/6, 4/11, 4/5","4/2, 4/4, 4/8"
889,1660.11,N,female,2021,7/12/21,8/2/21,1,1,5/18/21,KA_right,13,long,"7/17, 7/22, 7/27","7/14, 7/19, 7/26, 7/29","7/24, 7/19, 7/25","7/15, 7/16, 7/18, 7/20"
893,1660.12,L,female,2021,7/12/21,8/2/21,1,8,5/18/21,KA_right,7,long,"7/17, 7/26, 7/28","7/14, 7/19, 7/23","7/14, 7/18, 7/29","7/15, 7/16, 7/20"
892,1661.11,L,female,2021,7/12/21,8/2/21,1,7,5/19/21,KA_right,7,long,"7/16, 7/22, 7/27","7/13, 7/19, 7/26","7/18, 7/24, 7/25, 7/29","7/14, 7/15, 7/17"
894,1661.12,R,female,2021,7/12/21,8/2/21,2,1,5/19/21,KA_right,9,long,"7/15, 7/17, 7/23","7/20, 7/29, 7/31","7/24, 7/25, 7/19","7/16, 7/18, 7/21"
890,1660.21,N,female,2021,7/14/21,8/4/21,1,2,5/20/21,KA_right,7.5,long,"7/18, 7/19, 7/27","7/22, 7/25, 7/30","7/21, 7/24, 7/29","7/17, 7/20, 7/23"
891,1660.31,R,female,2021,7/14/21,8/4/21,1,3,5/21/21,KA_right,9,long,"7/18, 7/28, 7/30","7/15, 7/23, 7/29","7/22, 7/31, 8/1 ","7/16, 7/17, 7/19, 7/20, 7/21"
904,1665.11,N,female,2021,7/14/21,8/4/21,1,4,5/24/21,KA_left,8,long,"7/19, 7/27, 7/16","7/18, 7/26, 7/29","7/21, 7/25, 7/28","7/17, 7/20, 7/22, /23, 7/24"
905,1665.12,L+R,female,2021,7/14/21,8/4/21,2,2,5/24/21,KA_left,10,long,"7/16, 7/17, 7/26","7/21, 7/23/ 7/30","7/20, 7/22, 7/28","7/18, 7/19"
909,1666.11,L+R,female,2021,7/14/21,8/4/21,2,3,5/24/21,KA_left,4.5,regular,"7/15, 7/20, 7/24","7/17, 7/22, 7/26","7/16, 7/21, 7/27","7/18, 7/19"
1747.11,1747.11,,male,2021,11/8/21,11/22/21,1,1,9/20/21,KA_left,,,,,,"11/13, 11/17, 11/21, 11/20, 11/19, 11/18, 11/16, 11/15"
,1745.21,,female,2021,11/16/21,11/30/21,1,2,9/28/21,KA_right,4,regular,"11/21, 11/22, 11/27","11/20, 11/25, 11/29","11/24, 11/28","11/19, 11/23, 11/26"
,1746.21,,female,2021,11/16/21,11/30/21,1,3,9/28/21,KA_left,13,long,"11/18, 11/19, 11/20, 11/25","11/16, 11/23, 11/29","11/27, 11/26","11/22, 11/24, 11/28"
1825.11,1825.11,,male,2022,2/25/22,3/11/22,1,1,1/7/22,KA_right,,,,,,"3/10, 3/9, 3/8, 3/7, 3/6, 3/5, 3/4"
1846.21,1846.21,,male,2022,3/26/22,4/9/22,1,3,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1846.11,1846.11,,male,2022,3/26/22,4/9/22,1,1,2/4/22,KA_right,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1848.12,1848.12,,male,2022,3/26/22,4/9/22,1,5,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1848.13,1848.13,,male,2022,3/26/22,4/9/22,1,6,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1846.13,1846.13,,male,2022,3/27/22,4/10/22,1,2,2/4/22,KA_right,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"
1848.14,1848.14,,male,2022,3/27/22,4/10/22,1,7,2/5/22,KA_left,,,,,,"4/8, 4/7, 4/6, 4/5, 4/4, 4/3, 4/2"